image_path,object_name,state_name
cup/half/000001.png,cup,1
cup/full/000002.png,cup,2
cup/full/000003.png,cup,2
cup/half/000004.png,cup,1
cup/empty/000005.png,cup,0
cup/full/000006.png,cup,2
cup/empty/000007.png,cup,0
cup/half/000008.png,cup,1
cup/half/000009.png,cup,1
cup/full/000010.png,cup,2
cup/full/000011.png,cup,2
cup/full/000012.png,cup,2
cup/full/000013.png,cup,2
cup/half/000014.png,cup,1
cup/full/000015.png,cup,2
cup/half/000016.png,cup,1
cup/full/000017.png,cup,2
cup/full/000018.png,cup,2
cup/full/000019.png,cup,2
cup/empty/000020.png,cup,0
cup/full/000021.png,cup,2
cup/half/000022.png,cup,1
cup/full/000023.png,cup,2
cup/empty/000024.png,cup,0
cup/half/000025.png,cup,1
cup/full/000026.png,cup,2
cup/half/000027.png,cup,1
cup/full/000028.png,cup,2
cup/full/000029.png,cup,2
cup/half/000030.png,cup,1
cup/empty/000031.png,cup,0
cup/full/000032.png,cup,2
cup/full/000033.png,cup,2
cup/half/000034.png,cup,1
cup/half/000035.png,cup,1
cup/half/000036.png,cup,1
cup/half/000037.png,cup,1
cup/half/000038.png,cup,1
cup/full/000039.png,cup,2
cup/half/000040.png,cup,1
cup/half/000041.png,cup,1
cup/half/000042.png,cup,1
cup/empty/000043.png,cup,0
cup/half/000044.png,cup,1
cup/full/000045.png,cup,2
cup/empty/000046.png,cup,0
cup/full/000047.png,cup,2
cup/full/000048.png,cup,2
cup/half/000049.png,cup,1
cup/half/000050.png,cup,1
cup/full/000051.png,cup,2
cup/half/000052.png,cup,1
cup/empty/000053.png,cup,0
cup/full/000054.png,cup,2
cup/half/000055.png,cup,1
cup/half/000056.png,cup,1
cup/full/000057.png,cup,2
cup/half/000058.png,cup,1
cup/half/000059.png,cup,1
cup/half/000060.png,cup,1
cup/half/000061.png,cup,1
cup/half/000062.png,cup,1
cup/empty/000063.png,cup,0
cup/half/000064.png,cup,1
cup/half/000065.png,cup,1
cup/empty/000066.png,cup,0
cup/half/000067.png,cup,1
cup/full/000068.png,cup,2
cup/half/000069.png,cup,1
cup/empty/000070.png,cup,0
cup/empty/000071.png,cup,0
cup/full/000072.png,cup,2
cup/half/000073.png,cup,1
cup/full/000074.png,cup,2
cup/half/000075.png,cup,1
cup/full/000076.png,cup,2
cup/half/000077.png,cup,1
cup/half/000078.png,cup,1
cup/empty/000079.png,cup,0
cup/half/000080.png,cup,1
cup/full/000081.png,cup,2
cup/half/000082.png,cup,1
cup/full/000083.png,cup,2
cup/half/000084.png,cup,1
cup/full/000085.png,cup,2
cup/full/000086.png,cup,2
cup/full/000087.png,cup,2
cup/half/000088.png,cup,1
cup/half/000089.png,cup,1
cup/empty/000090.png,cup,0
cup/full/000091.png,cup,2
cup/full/000092.png,cup,2
cup/half/000093.png,cup,1
cup/half/000094.png,cup,1
cup/half/000095.png,cup,1
cup/full/000096.png,cup,2
cup/half/000097.png,cup,1
cup/half/000098.png,cup,1
cup/half/000099.png,cup,1
cup/half/000100.png,cup,1
cup/half/000101.png,cup,1
cup/full/000102.png,cup,2
cup/full/000103.png,cup,2
cup/half/000104.png,cup,1
cup/half/000105.png,cup,1
cup/half/000106.png,cup,1
cup/half/000107.png,cup,1
cup/half/000108.png,cup,1
cup/half/000109.png,cup,1
cup/full/000110.png,cup,2
cup/empty/000111.png,cup,0
cup/half/000112.png,cup,1
cup/half/000113.png,cup,1
cup/half/000114.png,cup,1
cup/empty/000115.png,cup,0
cup/full/000116.png,cup,2
cup/half/000117.png,cup,1
cup/half/000118.png,cup,1
cup/full/000119.png,cup,2
cup/full/000120.png,cup,2
cup/full/000121.png,cup,2
cup/half/000122.png,cup,1
cup/half/000123.png,cup,1
cup/half/000124.png,cup,1
cup/full/000125.png,cup,2
cup/half/000126.png,cup,1
cup/empty/000127.png,cup,0
cup/empty/000128.png,cup,0
cup/full/000129.png,cup,2
cup/full/000130.png,cup,2
cup/half/000131.png,cup,1
cup/half/000132.png,cup,1
cup/full/000133.png,cup,2
cup/full/000134.png,cup,2
cup/half/000135.png,cup,1
cup/full/000136.png,cup,2
cup/half/000137.png,cup,1
cup/half/000138.png,cup,1
cup/full/000139.png,cup,2
cup/full/000140.png,cup,2
cup/empty/000141.png,cup,0
cup/half/000142.png,cup,1
cup/half/000143.png,cup,1
cup/half/000144.png,cup,1
cup/half/000145.png,cup,1
cup/full/000146.png,cup,2
cup/half/000147.png,cup,1
cup/half/000148.png,cup,1
cup/full/000149.png,cup,2
cup/empty/000150.png,cup,0
cup/full/000151.png,cup,2
cup/half/000152.png,cup,1
cup/half/000153.png,cup,1
cup/full/000154.png,cup,2
cup/empty/000155.png,cup,0
cup/full/000156.png,cup,2
cup/empty/000157.png,cup,0
cup/empty/000158.png,cup,0
cup/full/000159.png,cup,2
cup/empty/000160.png,cup,0
cup/half/000161.png,cup,1
cup/half/000162.png,cup,1
cup/half/000163.png,cup,1
cup/half/000164.png,cup,1
cup/half/000165.png,cup,1
cup/full/000166.png,cup,2
cup/half/000167.png,cup,1
cup/full/000168.png,cup,2
cup/half/000169.png,cup,1
cup/full/000170.png,cup,2
cup/full/000171.png,cup,2
cup/empty/000172.png,cup,0
cup/full/000173.png,cup,2
cup/half/000174.png,cup,1
cup/half/000175.png,cup,1
cup/half/000176.png,cup,1
cup/half/000177.png,cup,1
cup/half/000178.png,cup,1
cup/full/000179.png,cup,2
cup/half/000180.png,cup,1
cup/half/000181.png,cup,1
cup/half/000182.png,cup,1
cup/full/000183.png,cup,2
cup/full/000184.png,cup,2
cup/full/000185.png,cup,2
cup/full/000186.png,cup,2
cup/half/000187.png,cup,1
cup/full/000188.png,cup,2
cup/empty/000189.png,cup,0
cup/half/000190.png,cup,1
cup/full/000191.png,cup,2
cup/half/000192.png,cup,1
cup/half/000193.png,cup,1
cup/half/000194.png,cup,1
cup/half/000195.png,cup,1
cup/half/000196.png,cup,1
cup/half/000197.png,cup,1
cup/half/000198.png,cup,1
cup/full/000199.png,cup,2
cup/full/000200.png,cup,2
cup/empty/000201.png,cup,0
cup/full/000202.png,cup,2
cup/half/000203.png,cup,1
cup/full/000204.png,cup,2
cup/full/000205.png,cup,2
cup/empty/000206.png,cup,0
cup/half/000207.png,cup,1
cup/half/000208.png,cup,1
cup/empty/000209.png,cup,0
cup/half/000210.png,cup,1
cup/full/000211.png,cup,2
cup/full/000212.png,cup,2
cup/full/000213.png,cup,2
cup/half/000214.png,cup,1
cup/empty/000215.png,cup,0
cup/empty/000216.png,cup,0
cup/empty/000217.png,cup,0
cup/half/000218.png,cup,1
cup/full/000219.png,cup,2
cup/full/000220.png,cup,2
cup/empty/000221.png,cup,0
cup/full/000222.png,cup,2
cup/full/000223.png,cup,2
cup/full/000224.png,cup,2
cup/half/000225.png,cup,1
cup/half/000226.png,cup,1
cup/full/000227.png,cup,2
cup/full/000228.png,cup,2
cup/full/000229.png,cup,2
cup/empty/000230.png,cup,0
